Id;Database;Dataset name;Location;Unit;Type;reference product;categories;code
_lci_direct_CO2;biosphere3;Carbon dioxide, fossil;;kilogram;biosphere;;air;349b29d1-3e58-4c66-98b9-9d1a076efd2e
_lci_direct_rural_SO2;biosphere3;Sulfur dioxide;;kilogram;biosphere;;air::low population density, long-term;6ce44f77-d181-4396-8fa2-2276eeeb4c08 
_lci_direct_rural_NOx;biosphere3;Nitrogen oxides;;kilogram;biosphere;;air::low population density, long-term;9115356e-a534-4329-9ec6-d9208720241b 
_lci_direct_rural_CO;biosphere3;Carbon monoxide, fossil;;kilogram;biosphere;;air::low population density, long-term;49c594c6-b6a8-42a3-95c5-cca812fda80b 
_lci_direct_rural_PM;biosphere3;Particulates, > 2.5 um, and < 10um;;kilogram;biosphere;;air::low population density, long-term;5716c728-bd33-414d-8691-16e5534f5d37 
_lci_direct_rural_NMVOC;biosphere3;NMVOC, non-methane volatile organic compounds, unspecified origin;;kilogram;biosphere;;air::low population density, long-term;3f5339ef-1939-4f44-8cd6-98ac7584d456 
_lci_direct_rural_NH3;biosphere3;Ammonia;;kilogram;biosphere;;air::low population density, long-term;2b50f643-216a-412b-a0e5-5946867aa2ed 
_lci_direct_rural_HC;biosphere3;PAH, polycyclic aromatic hydrocarbons;;kilogram;biosphere;;air::low population density, long-term;641ba62d-63a4-451c-bff0-aa5c08965393 
_lci_direct_rural_N2O;biosphere3;Dinitrogen monoxide;;kilogram;biosphere;;air::low population density, long-term;81305cda-63f1-4c1a-99c6-2c2568550ec4 
_lci_direct_rural_CH4;biosphere3;Methane, fossil;;kilogram;biosphere;;air::low population density, long-term;f3bd723a-5276-4ae8-9860-b89537351a90 
_lci_direct_rural_C6H6;biosphere3;Benzene;;kilogram;biosphere;;air::low population density, long-term;8476d82a-4a17-4c08-8339-efd46c6518e7 
_lci_direct_rural_Pb;biosphere3;Lead;;kilogram;biosphere;;air::low population density, long-term;9ee7f4ab-b826-47ae-8623-e138f944b42e 
_lci_direct_suburban_SO2;biosphere3;Sulfur dioxide;;kilogram;biosphere;;air::non-urban air or from high stacks;78c3efe4-421c-4d30-82e4-b97ac5124993 
_lci_direct_suburban_NOx;biosphere3;Nitrogen oxides;;kilogram;biosphere;;air::non-urban air or from high stacks;77357947-ccc5-438e-9996-95e65e1e1bce 
_lci_direct_suburban_CO;biosphere3;Carbon monoxide, fossil;;kilogram;biosphere;;air::non-urban air or from high stacks;099b36ab-4c03-4587-87f4-2f81e337afb8 
_lci_direct_suburban_PM;biosphere3;Particulates, > 2.5 um, and < 10um;;kilogram;biosphere;;air::non-urban air or from high stacks;295c9740-6fdb-4676-9eb8-15e3786f713d 
_lci_direct_suburban_NMVOC;biosphere3;NMVOC, non-methane volatile organic compounds, unspecified origin;;kilogram;biosphere;;air::non-urban air or from high stacks;33b38ccb-593b-4b11-b965-10d747ba3556 
_lci_direct_suburban_NH3;biosphere3;Ammonia;;kilogram;biosphere;;air::non-urban air or from high stacks;0f440cc0-0f74-446d-99d6-8ff0e97a2444 
_lci_direct_suburban_HC;biosphere3;PAH, polycyclic aromatic hydrocarbons;;kilogram;biosphere;;air::non-urban air or from high stacks;13d898ac-b9be-4723-a153-565e2a9144ac 
_lci_direct_suburban_N2O;biosphere3;Dinitrogen monoxide;;kilogram;biosphere;;air::non-urban air or from high stacks;afd6d670-bbb0-4625-9730-04088a5b035e 
_lci_direct_suburban_CH4;biosphere3;Methane, fossil;;kilogram;biosphere;;air::non-urban air or from high stacks;70ef743b-3ed5-4a6d-b192-fb6d62378555 
_lci_direct_suburban_C6H6;biosphere3;Benzene;;kilogram;biosphere;;air::non-urban air or from high stacks;5e883a00-04e6-4d96-8dce-12d7117c6635 
_lci_direct_suburban_Pb;biosphere3;Lead;;kilogram;biosphere;;air::non-urban air or from high stacks;2718482b-8399-442e-b89a-52fbcc22d2e6 
_lci_direct_urban_SO2;biosphere3;Sulfur dioxide;;kilogram;biosphere;;air::urban air close to ground;8c52f40c-69b7-4538-8923-b371523c71f5 
_lci_direct_urban_NOx;biosphere3;Nitrogen oxides;;kilogram;biosphere;;air::urban air close to ground;d068f3e2-b033-417b-a359-ca4f25da9731 
_lci_direct_urban_CO;biosphere3;Carbon monoxide, fossil;;kilogram;biosphere;;air::urban air close to ground;6edcc2df-88a3-48e1-83d8-ffc38d31c35b 
_lci_direct_urban_PM;biosphere3;Particulates, > 2.5 um, and < 10um;;kilogram;biosphere;;air::urban air close to ground;ccb169c3-8aae-4727-89bb-a7dd122946f3 
_lci_direct_urban_NMVOC;biosphere3;NMVOC, non-methane volatile organic compounds, unspecified origin;;kilogram;biosphere;;air::urban air close to ground;175baa64-d985-4c5e-84ef-67cc3a1cf952
_lci_direct_urban_NH3;biosphere3;Ammonia;;kilogram;biosphere;;air::urban air close to ground;9990b51b-7023-4700-bca0-1a32ef921f74 
_lci_direct_urban_HC;biosphere3;PAH, polycyclic aromatic hydrocarbons;;kilogram;biosphere;;air::urban air close to ground;9d1efa17-070a-4602-a65f-daf5056b0647 
_lci_direct_urban_N2O;biosphere3;Dinitrogen monoxide;;kilogram;biosphere;;air::urban air close to ground;6dc1b46f-ee89-4495-95c4-b8a637bcd6cb 
_lci_direct_urban_CH4;biosphere3;Methane, fossil;;kilogram;biosphere;;air::urban air close to ground;5f7aad3d-566c-4d0d-ad59-e765f971aa0f 
_lci_direct_urban_C6H6;biosphere3;Benzene;;kilogram;biosphere;;air::urban air close to ground;1bb6a502-3ff9-4a79-835c-5588b855f1f5
_lci_direct_urban_Pb;biosphere3;Lead;;kilogram;biosphere;;air::urban air close to ground;6a903634-c97f-4c49-a7c0-88f0e6ac7a23 
_lci_direct_brake_wear;ecoinvent;market for brake wear emissions, passenger car;GLO;kilogram;technosphere;brake wear emissions, passenger car;;f779de9f4fe97ddb0180e5bfdf666c3d
_lci_direct_noise, octave 8, day time, urban;Car database;noise, octave 8, day time, urban;;joule;biosphere;;octave 8::day time::urban;f5078888-ca78-11e9-b5bc-2079186002a1
_lci_direct_noise, octave 8, day time, suburban;Car database;noise, octave 8, day time, suburban;;joule;biosphere;;octave 8::day time::suburban;f50774f7-ca78-11e9-90bb-2079186002a1
_lci_direct_noise, octave 8, day time, rural;Car database;noise, octave 8, day time, rural;;joule;biosphere;;octave 8::day time::rural;f50774f6-ca78-11e9-8ba2-2079186002a1
_lci_direct_noise, octave 7, day time, urban;Car database;noise, octave 7, day time, urban;;joule;biosphere;;octave 7::day time::urban;f50774f5-ca78-11e9-a0d3-2079186002a1
_lci_direct_noise, octave 7, day time, suburban;Car database;noise, octave 7, day time, suburban;;joule;biosphere;;octave 7::day time::suburban;f50774f4-ca78-11e9-a5c8-2079186002a1
_lci_direct_noise, octave 7, day time, rural;Car database;noise, octave 7, day time, rural;;joule;biosphere;;octave 7::day time::rural;f50774f3-ca78-11e9-8473-2079186002a1
_lci_direct_noise, octave 6, day time, urban;Car database;noise, octave 6, day time, urban;;joule;biosphere;;octave 6::day time::urban;f50774f2-ca78-11e9-9e8b-2079186002a1
_lci_direct_noise, octave 6, day time, suburban;Car database;noise, octave 6, day time, suburban;;joule;biosphere;;octave 6::day time::suburban;f50774f1-ca78-11e9-b232-2079186002a1
_lci_direct_noise, octave 6, day time, rural;Car database;noise, octave 6, day time, rural;;joule;biosphere;;octave 6::day time::rural;f50774f0-ca78-11e9-8930-2079186002a1
_lci_direct_noise, octave 5, day time, urban;Car database;noise, octave 5, day time, urban;;joule;biosphere;;octave 5::day time::urban;f50774ef-ca78-11e9-a7bb-2079186002a1
_lci_direct_noise, octave 5, day time, suburban;Car database;noise, octave 5, day time, suburban;;joule;biosphere;;octave 5::day time::suburban;f50774ee-ca78-11e9-a04b-2079186002a1
_lci_direct_noise, octave 5, day time, rural;Car database;noise, octave 5, day time, rural;;joule;biosphere;;octave 5::day time::rural;f5076188-ca78-11e9-b1bc-2079186002a1
_lci_direct_noise, octave 4, day time, urban;Car database;noise, octave 4, day time, urban;;joule;biosphere;;octave 4::day time::urban;f5076187-ca78-11e9-8a6c-2079186002a1
_lci_direct_noise, octave 4, day time, suburban;Car database;noise, octave 4, day time, suburban;;joule;biosphere;;octave 4::day time::suburban;f5076186-ca78-11e9-8223-2079186002a1
_lci_direct_noise, octave 4, day time, rural;Car database;noise, octave 4, day time, rural;;joule;biosphere;;octave 4::day time::rural;f5076185-ca78-11e9-9c18-2079186002a1
_lci_direct_noise, octave 3, day time, urban;Car database;noise, octave 3, day time, urban;;joule;biosphere;;octave 3::day time::urban;f5076184-ca78-11e9-98b4-2079186002a1
_lci_direct_noise, octave 3, day time, suburban;Car database;noise, octave 3, day time, suburban;;joule;biosphere;;octave 3::day time::suburban;f5076183-ca78-11e9-aa3f-2079186002a1
_lci_direct_noise, octave 3, day time, rural;Car database;noise, octave 3, day time, rural;;joule;biosphere;;octave 3::day time::rural;f5076182-ca78-11e9-b06f-2079186002a1
_lci_direct_noise, octave 2, day time, urban;Car database;noise, octave 2, day time, urban;;joule;biosphere;;octave 2::day time::urban;f5076181-ca78-11e9-823b-2079186002a1
_lci_direct_noise, octave 2, day time, suburban;Car database;noise, octave 2, day time, suburban;;joule;biosphere;;octave 2::day time::suburban;f5076180-ca78-11e9-a25a-2079186002a1
_lci_direct_noise, octave 2, day time, rural;Car database;noise, octave 2, day time, rural;;joule;biosphere;;octave 2::day time::rural;f5074dcb-ca78-11e9-8540-2079186002a1
_lci_direct_noise, octave 1, day time, urban;Car database;noise, octave 1, day time, urban;;joule;biosphere;;octave 1::day time::urban;f5074dca-ca78-11e9-8fc4-2079186002a1
_lci_direct_noise, octave 1, day time, suburban;Car database;noise, octave 1, day time, suburban;;joule;biosphere;;octave 1::day time::suburban;f5074dc9-ca78-11e9-aa78-2079186002a1
_lci_direct_noise, octave 1, day time, rural;Car database;noise, octave 1, day time, rural;;joule;biosphere;;octave 1::day time::rural;f5074dc8-ca78-11e9-a0c1-2079186002a1
_lci_storage_h2_tank;Car database;Fuel tank, compressed hydrogen gas, 700bar;GLO;kilogram;technosphere;Fuel tank, compressed hydrogen gas, 700bar;;f5074dc7-ca78-11e9-aad2-2079186002a1
_lci_energy_h2;Car database;Hydrogen, gaseous, 700 bar, from electrolysis, at H2 fuelling station;RER;kilogram;technosphere;Hydrogen, gaseous, 700 bar, from electrolysis, at H2 fuelling station;;f5074dc6-ca78-11e9-80bf-2079186002a1
_lci_glider_lightweighting;Car database;Glider lightweighting;GLO;kilogram;technosphere;Glider lightweighting;;f5073a33-ca78-11e9-a2b1-2079186002a1
_lci_powertrain_fuel_cell_stack;Car database;Stack 2020;GLO;kilowatt;technosphere;Stack 2020;;f5073a32-ca78-11e9-bf37-2079186002a1
_lci_powertrain_fuel_cell_essential_BoP;Car database;Essential BoP;GLO;kilogram;technosphere;Essential BoP;;f5073a31-ca78-11e9-96ae-2079186002a1
_lci_powertrain_fuel_cell_ancillary_BoP;Car database;Ancillary BoP;GLO;kilogram;technosphere;Ancillary BoP;;f5073a30-ca78-11e9-ba4e-2079186002a1
_lci_storage_battery_cell;Car database;Battery cell;GLO;kilogram;technosphere;Battery cell;;f5073a2f-ca78-11e9-9e41-2079186002a1
_lci_storage_battery_BoP;Car database;Battery BoP;GLO;kilogram;technosphere;Battery BoP;;f5073a2e-ca78-11e9-9899-2079186002a1
_lci_powertrain;ecoinvent;market for internal combustion engine, passenger car;GLO;kilogram;technosphere;internal combustion engine, for passenger car;;e4bdb0c9a5612e4df90ac8c8cbc9692f
_lci_powertrain_converter;ecoinvent;market for converter, for electric passenger car;GLO;kilogram;technosphere;converter, for electric passenger car;;cb27d8c8578f267ca7bab5485e059c6e
_lci_energy_diesel;ecoinvent;market for diesel;Europe without Switzerland;kilogram;technosphere;diesel;;ae18ed2362683af95b3125dc55e423c9
_lci_car_maintenance;ecoinvent;maintenance, passenger car;RER;unit;technosphere;passenger car maintenance;;8165f97a39fc75d19ecc8de2661cd7dd
_lci_powertrain_power_distribution_unit;ecoinvent;market for power distribution unit, for electric passenger car;GLO;kilogram;technosphere;power distribution unit, for electric passenger car;;7d54f8c3a04deb1ce0b02f65a693dcd5
_lci_energy_cng;ecoinvent;market for natural gas, from high pressure network (1-5 bar), at service station;GLO;kilogram;technosphere;natural gas, from high pressure network (1-5 bar), at service station;;7c654903cec232e3610124d4855a75ed
_lci_direct_road_wear;ecoinvent;market for road wear emissions, passenger car;GLO;kilogram;technosphere;road wear emissions, passenger car;;6cf07a2e8f8867ce65ac1673ceb4de62
_lci_powertrain_charger;ecoinvent;market for charger, electric passenger car;GLO;kilogram;technosphere;charger, electric passenger car;;6404d77c1d1e51690118e437fe0bbb6b
_lci_powertrain_combustion_EoL;ecoinvent;market for manual dismantling of used passenger car with internal combustion engine;GLO;unit;technosphere;manual dismantling of used passenger car with internal combustion engine;;62f332ec4032446780e1ee7c32124d7a
_lci_powertrain_electric_EoL;ecoinvent;market for manual dismantling of used electric passenger car;GLO;unit;technosphere;manual dismantling of used electric passenger car;;60ef047ed3f93a0488e7887b83bd8557
_lci_powertrain_inverter;ecoinvent;market for inverter, for electric passenger car;GLO;kilogram;technosphere;inverter, for electric passenger car;;5f3f228c87aea3941472ef650269a843
_lci_direct_tyre_wear;ecoinvent;market for tyre wear emissions, passenger car;GLO;kilogram;technosphere;tyre wear emissions, passenger car;;5a3b3811015c11e9015f2d8a848d7656
_lci_powertrain_electric_engine;ecoinvent;market for electric motor, electric passenger car;GLO;kilogram;technosphere;electric motor, electric passenger car;;48471c9ef54aacd41991f266d8132548
_lci_energy_electricity;ecoinvent;market group for electricity, low voltage;ENTSO-E;kilowatt hour;technosphere;electricity, low voltage;;43024e9cc9b0b66e3b3154464442e12b
_lci_road;ecoinvent;market for road;GLO;meter-year;technosphere;road;;378c6dbce0519c862c9c2453955e9c3d
_lci_glider;ecoinvent;market for glider, passenger car;GLO;kilogram;technosphere;glider, passenger car;;3190a5aaecaaa169947d055586a0a4ae
_lci_powertrain_electric_powertrain_EoL;ecoinvent;market for used powertrain from electric passenger car, manual dismantling;GLO;kilogram;technosphere;used powertrain from electric passenger car, manual dismantling;;255e9c73a24472c2484aba998831d81f
_lci_energy_petrol;ecoinvent;market for petrol, low-sulfur;Europe without Switzerland;kilogram;technosphere;petrol, low-sulfur;;08ee14825bd4a613829613a2421ca5e5
_lci_storage_cng_tank;ecoinvent;glass fibre reinforced plastic production, polyamide, injection moulded;RER;kilogram;technosphere;glass fibre reinforced plastic, polyamide, injection moulded;;0356c63516d5e7e6672e3e7d2b9b69b2
_lci_storage_fuel_tank;ecoinvent;polyethylene production, high density, granulate;RER;kilogram;technosphere;polyethylene, high density, granulate;;0111b5c2e99b9b3d02f8eaa9081824ba
