size,octave,coefficient,value
medium,1,a,30
medium,2,a,35.8
medium,3,a,32.6
medium,4,a,23.8
medium,5,a,30.1
medium,6,a,36.2
medium,7,a,38.3
medium,8,a,40.1
heavy,1,a,30
heavy,2,a,33.5
heavy,3,a,31.3
heavy,4,a,25.4
heavy,5,a,31.8
heavy,6,a,37.1
heavy,7,a,38.6
heavy,8,a,40.6
medium,1,b,84
medium,2,b,88.7
medium,3,b,91.5
medium,4,b,96.7
medium,5,b,97.4
medium,6,b,90.9
medium,7,b,83.8
medium,8,b,80.5
heavy,1,b,87
heavy,2,b,91.7
heavy,3,b,94.1
heavy,4,b,100.7
heavy,5,b,100.8
heavy,6,b,94.3
heavy,7,b,87.1
heavy,8,b,82.5