size,powertrain,octave,coefficient,value
medium,ICEV,1,a,-1.9
medium,ICEV,2,a,4.7
medium,ICEV,3,a,6.4
medium,ICEV,4,a,6.5
medium,ICEV,5,a,6.5
medium,ICEV,6,a,6.5
medium,ICEV,7,a,6.5
medium,ICEV,8,a,6.5
medium,BEV,1,a,-1.9
medium,BEV,2,a,4.7
medium,BEV,3,a,6.4
medium,BEV,4,a,6.5
medium,BEV,5,a,6.5
medium,BEV,6,a,6.5
medium,BEV,7,a,6.5
medium,BEV,8,a,6.5
medium,ICEV,1,b,101
medium,ICEV,2,b,96.5
medium,ICEV,3,b,98.8
medium,ICEV,4,b,96.8
medium,ICEV,5,b,98.6
medium,ICEV,6,b,95.2
medium,ICEV,7,b,88.8
medium,ICEV,8,b,82.7
medium,BEV,1,b,101
medium,BEV,2,b,96.5
medium,BEV,3,b,98.8
medium,BEV,4,b,96.8
medium,BEV,5,b,98.6
medium,BEV,6,b,95.2
medium,BEV,7,b,88.8
medium,BEV,8,b,82.7
heavy,ICEV,1,a,0
heavy,ICEV,2,a,3
heavy,ICEV,3,a,4.6
heavy,ICEV,4,a,5
heavy,ICEV,5,a,5
heavy,ICEV,6,a,5
heavy,ICEV,7,a,5
heavy,ICEV,8,a,5
heavy,BEV,1,a,0
heavy,BEV,2,a,3
heavy,BEV,3,a,4.6
heavy,BEV,4,a,5
heavy,BEV,5,a,5
heavy,BEV,6,a,5
heavy,BEV,7,a,5
heavy,BEV,8,a,5
heavy,ICEV,1,b,104.4
heavy,ICEV,2,b,100.6
heavy,ICEV,3,b,101.7
heavy,ICEV,4,b,101
heavy,ICEV,5,b,100.1
heavy,ICEV,6,b,95.9
heavy,ICEV,7,b,91.3
heavy,ICEV,8,b,85.3
heavy,BEV,1,b,104.4
heavy,BEV,2,b,100.6
heavy,BEV,3,b,101.7
heavy,BEV,4,b,101
heavy,BEV,5,b,100.1
heavy,BEV,6,b,95.9
heavy,BEV,7,b,91.3
heavy,BEV,8,b,85.3